customer_grade,quote_stage,quantity,estimated_amount,days_until_due,converted
C,초기,3,49000000,17,1
A,협의중,5,29000000,30,1
A,초기,5,21000000,15,0
C,협의중,4,93000000,20,0
A,유력,6,72000000,24,1
A,유력,1,29000000,27,1
C,협의중,1,111000000,32,0
D,협의중,5,55000000,26,0
C,초기,2,116000000,21,0
D,유력,4,53000000,32,0
B,협의중,2,103000000,20,0
C,초기,6,39000000,18,0
B,유력,6,106000000,17,0
C,유력,2,22000000,23,1
A,유력,5,109000000,23,1
B,유력,6,76000000,12,1
A,협의중,3,113000000,30,0
B,초기,2,83000000,34,1
A,초기,6,38000000,30,0
B,협의중,4,85000000,19,0
D,초기,6,32000000,20,0
B,초기,2,76000000,3,0
D,초기,5,115000000,14,0
A,협의중,6,82000000,15,1
C,협의중,5,18000000,23,0
A,협의중,3,48000000,6,1
B,초기,6,80000000,7,0
B,초기,6,78000000,13,1
D,협의중,2,87000000,15,0
B,협의중,3,74000000,31,1
A,협의중,5,88000000,17,0
A,협의중,1,47000000,7,0
D,초기,2,53000000,34,0
A,유력,5,91000000,33,1
B,협의중,1,30000000,30,1
B,유력,1,104000000,9,1
C,유력,1,49000000,15,1
B,협의중,3,77000000,18,0
A,유력,5,30000000,6,1
B,초기,1,114000000,18,1
B,초기,4,25000000,13,0
D,초기,4,54000000,30,0
C,유력,6,109000000,34,1
B,유력,5,112000000,6,0
A,협의중,5,85000000,13,1
B,유력,1,94000000,7,1
A,초기,5,49000000,5,0
B,협의중,5,58000000,19,1
C,초기,4,34000000,22,0
D,유력,1,76000000,9,1
A,초기,3,26000000,18,1
A,유력,6,56000000,3,1
B,유력,1,35000000,19,1
A,협의중,3,54000000,16,1
A,협의중,3,82000000,34,1
D,초기,6,72000000,20,1
B,초기,3,38000000,31,0
B,초기,1,106000000,12,0
C,협의중,2,73000000,11,1
B,유력,1,63000000,16,1
C,협의중,5,70000000,12,0
A,초기,2,70000000,4,1
D,유력,4,120000000,18,1
C,초기,1,78000000,17,1
D,협의중,2,46000000,4,0
B,초기,1,116000000,20,0
B,협의중,5,60000000,4,1
D,초기,3,22000000,9,0
B,유력,4,95000000,35,1
D,초기,1,108000000,30,1
D,협의중,6,112000000,15,0
A,협의중,3,97000000,23,0
A,유력,5,57000000,29,1
C,협의중,2,71000000,27,0
D,협의중,3,69000000,3,0
A,유력,5,101000000,23,1
B,초기,4,119000000,13,0
B,협의중,5,60000000,8,0
C,협의중,2,43000000,12,1
A,협의중,1,76000000,29,0
B,협의중,4,81000000,28,1
C,초기,1,117000000,30,0
C,협의중,4,24000000,18,0
A,초기,4,103000000,23,0
D,협의중,6,82000000,30,0
B,유력,6,78000000,31,1
A,협의중,5,80000000,18,1
A,초기,3,60000000,23,0
A,초기,4,106000000,12,0
A,협의중,5,77000000,29,1
C,협의중,5,107000000,4,0
C,협의중,1,63000000,22,0
D,유력,4,86000000,17,0
B,협의중,4,61000000,28,0
C,유력,5,86000000,4,0
B,협의중,1,100000000,30,1
B,초기,4,59000000,16,0
B,유력,3,114000000,29,1
A,초기,5,24000000,25,1
A,유력,1,114000000,4,0
A,초기,2,48000000,11,1
A,유력,4,107000000,19,1
A,협의중,6,109000000,10,0
A,협의중,5,21000000,22,1
D,협의중,6,43000000,7,0
C,초기,6,116000000,22,0
C,초기,5,118000000,5,0
B,협의중,5,100000000,24,1
B,협의중,4,64000000,32,0
B,협의중,6,52000000,33,0
C,협의중,3,49000000,8,1
B,유력,5,96000000,27,1
B,협의중,4,45000000,25,0
B,유력,6,53000000,3,1
A,초기,4,80000000,18,0
C,협의중,1,29000000,21,1
C,협의중,5,65000000,33,0
B,유력,5,60000000,25,0
B,초기,1,110000000,15,0
C,유력,6,41000000,15,1
B,협의중,5,94000000,21,0
C,초기,3,40000000,22,1
B,초기,1,88000000,21,0
A,유력,4,31000000,3,1
B,협의중,2,24000000,19,0
B,유력,4,80000000,7,1
C,초기,5,56000000,8,0
A,유력,5,94000000,17,0
B,유력,3,93000000,30,1
C,협의중,6,30000000,16,0
B,초기,2,40000000,7,1
B,협의중,4,55000000,5,1
C,협의중,4,27000000,17,0
C,협의중,6,120000000,15,0
B,협의중,3,36000000,7,1
C,협의중,5,54000000,31,1
C,협의중,3,82000000,34,0
B,유력,6,59000000,19,1
A,협의중,5,93000000,4,0
C,초기,1,115000000,14,0
C,유력,2,92000000,30,0
B,초기,3,70000000,24,0
A,초기,4,106000000,34,1
D,유력,5,22000000,32,1
B,초기,4,83000000,3,0
B,협의중,2,84000000,26,0
B,협의중,1,44000000,20,1
D,협의중,6,80000000,10,1
C,유력,6,38000000,22,0
B,초기,1,77000000,10,0
A,유력,3,83000000,20,1
B,협의중,4,88000000,12,1
D,협의중,2,26000000,20,0
D,협의중,5,52000000,3,0
B,협의중,6,80000000,12,1
B,협의중,5,66000000,32,0
D,유력,2,91000000,27,1
C,초기,6,78000000,27,0
C,유력,2,81000000,5,1
D,협의중,1,74000000,9,0
B,협의중,4,101000000,12,1
C,초기,5,106000000,28,0
D,유력,5,66000000,23,0
D,협의중,5,22000000,7,1
C,초기,2,113000000,8,0
A,협의중,1,74000000,13,1
D,초기,1,55000000,25,0
A,협의중,5,105000000,14,1
A,유력,5,105000000,18,1
B,초기,6,50000000,32,0
A,유력,3,104000000,13,1
D,유력,3,99000000,30,0
B,협의중,4,79000000,9,1
B,협의중,6,55000000,4,0
C,초기,5,105000000,6,0
C,유력,3,117000000,17,0
B,협의중,5,50000000,11,0
D,협의중,3,118000000,31,1
B,초기,3,59000000,29,1
A,협의중,3,85000000,35,0
C,초기,4,55000000,24,0
B,초기,2,104000000,28,0
C,협의중,4,19000000,19,0
B,협의중,6,51000000,27,0
D,초기,2,78000000,4,0
D,협의중,5,46000000,7,0
B,협의중,6,70000000,10,1
D,협의중,4,32000000,9,1
B,협의중,3,103000000,29,0
C,유력,6,30000000,34,0
D,초기,6,65000000,16,0
D,유력,1,105000000,26,0
D,협의중,4,53000000,15,0
